Data Table for Daily Death Trends - The United States
Date generated: Thu Mar 17 2022 16:15:46 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Apr 24 2020,2080,2132,0
United States,Apr 23 2020,2002,2167,0
United States,Apr 22 2020,2251,2231,0
United States,Apr 21 2020,2658,2296,0
United States,Apr 20 2020,2056,2269,0
United States,Apr 19 2020,2005,2246,0
United States,Apr 18 2020,1876,2226,0
United States,Apr 17 2020,2322,2273,0
United States,Apr 16 2020,2454,2260,0
United States,Apr 15 2020,2703,2226,0
United States,Apr 14 2020,2472,2161,0
United States,Apr 13 2020,1895,2108,0
United States,Apr 12 2020,1862,2080,0
United States,Apr 11 2020,2203,2081,0
United States,Apr 10 2020,2237,1987,0
United States,Apr  9 2020,2216,1864,0
United States,Apr  8 2020,2244,1735,0
United States,Apr  7 2020,2100,1575,0
United States,Apr  6 2020,1699,1416,0
United States,Apr  5 2020,1871,1263,0
United States,Apr  4 2020,1548,1091,0
United States,Apr  3 2020,1374,950,0
United States,Apr  2 2020,1311,823,0
United States,Apr  1 2020,1123,684,0
United States,Mar 31 2020,990,567,0
United States,Mar 30 2020,626,455,0
United States,Mar 29 2020,668,389,0
United States,Mar 28 2020,560,311,0
United States,Mar 27 2020,485,247,0
